freq,siec,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 e	0.0000 e	0.0000 e	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 e	0.0000 e	0.0000 e	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,AT	: 	16.95 	16.27 	17.11 	18.03 	17.23 	17.29 	16.71 	19.29 	20.03 	21.05 	21.2 	21.32 	20.96 	20.78 	20.28 	20.28 	19.75 	19.17 	18.71 	18.71 	19.401 	18.5850 	19.4767 	18.3400 	18.7267 	17.9895 	18.2267 	17.6667 	19.3023 	21.2942 	34.3100 	43.3257 	41.0360 	38.3186 	34.3622 	33.8776 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,BA	: 	: 	: 	: 	: 	: 	20.54 	24.36 	24.6 	29.2 	30.2 	30.2 	30.2 	27.9 	27.9 	27.9 	27.9 	27.9 	21.24 	18.25 	16.69 	17.757 	17.6929 	17.6989 	18.2105 	18.0963 	20.3123 	18.7718 	17.4294 	19.7658 	23.8062 	35.5791 	31.9441 	27.9437 	29.1882 	27.8972 	27.3593 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,BE	: 	13.89 	16.26 	20.24 	16.82 	14.33 	14.7 	16.78 	17.6 	20.31 	19.13 	20.39 	18.32 	18.55 	18.27 	18.06 	16.23 	17.24 	15.19 	14.83 	14.5114 	15.3241 	14.8847 	17.3583 	15.3755 	15.9178 	13.7697 	13.8374 	13.0023 	18.7807 	26.1811 	37.8523 	31.8275 	27.6013 	22.2514 	25.0862 	25.5183 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,BG	: 	17.56 	19.26 	21.24 	25.7 	18.91 	19.97 	23.4267 	23.36 	25.63 	26.84 	30.2 	27.85 	28.15 	26.65 	26.29 	25.93 	21.24 	20 	16.92 	17.95 	20.3813 	20.6056 	23.7556 	24.3753 	24.0001 	21.5354 	18.9044 	19.9792 	38.4411 	41.4845 	63.7346 	47.7559 	38.1756 	33.6308 	35.2616 	41.5461 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,CZ	: 	275.48 	307.45 	363.03 	373.12 	337.81 	335.5 	356.77 	368.28 	410.46 	461.01 	461.17 	457.5 	419.61 	417.93 	431.72 	438.63 	438.63 	437.72 	422.96 	408.86 	406.98 	407.1800 	407.3700 	417.8400 	418.7100 	419.0600 	412.2100 	403.4400 	391.7400 	476.6666 	724.9155 	748.8982 	760.3500 	753.5800 	720.9363 	671.4267 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,DE	: 	17.04 	17.81 	21.17 	18 	16.35 	15.7 	15.86 	16.34 	17.77 	17.7 	18.01 	18.35 	19.13 	18.84 	18.93 	18.78 	18.93 	18.36 	17.83 	16.98 	16.929 	16.9010 	16.8777 	17.5503 	16.3256 	16.5765 	17.2123 	17.9618 	19.2318 	22.3901 	26.1491 	34.1544 	31.8039 	33.2776 	34.3838 	33.7647 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,DK	168.75 	183.18 	198.56 	202.83 	166.11 	175.96 	197.2 	199.83 	213.58 	212.83 	202.37 	197.7 	205.71 	202.43 	188.22 	181.58 	190.5686 	182.6693 	172.4584 	177.3046 	183.4821 	180.7813 	180.3026 	189.2093 	177.2593 	159.8464 	155.4800 	154.4035 	184.7860 	257.6395 	311.8247 	430.6206 	342.3953 	252.7070 	253.4299 	272.0961 	270.5657 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,EA	: 	16.6 	17.02 	19.53 	18.49 	16.01 	16.06 	17.77 	17.36 	19.99 	19.05 	21.52 	20.14 	21.89 	20.16 	21.97 	19.67 	21.38 	18.93 	19.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,EE	: 	114.282 	145.508 	161.224 	171.488 	157.6 	157.53 	174.2814 	11.64 	12.14 	13.88 	14.38 	14.57 	13.21 	13.64 	13.71 	12.67 	10.68 	9.62 	9.1 	11.6133 	11.4589 	11.1426 	11.8001 	12.7321 	12.3807 	12.2553 	11.4294 	12.0958 	20.8218 	30.7210 	30.2534 	30.5282 	21.9662 	19.1855 	21.8820 	23.7711 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.25 	21.44 	24.66 	20.09 	22.16 	18.92 	20.83 	15.68 	18.12 	15.55 p	: @C	14.7900 e	18.1796 	15.4049 	16.2970 	13.4132 	14.3728 	12.4844 	28.1625 	22.8074 	44.4122 	32.9604 	25.7315 	20.6587 	26.2521 	23.9609 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,ES	: 	16.148 	15.981 	18.137 	16.98 	14.8755 	14.8321 	14.9992 	14.89 	15 	18.37 	23.98 	20.34 	24.78 	20.9 	26.64 	20.32 	26.57 	18.82 	23.82 	18.52 	24.0335 	18.4751 	24.2945 	20.4438 	28.3503 	19.9309 	24.7144 	19.2038 	30.0581 	24.9262 	43.7133 	29.9129 	28.0598 	23.8299 	25.0145 	23.8695 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,FR	: 	14.32 	14.46 	16.055 	15.29 	16.2 	14.46 	15.98 	16.11 	17.95 	17.63 	18.95 	18.83 	20.24 	19.47 	21.16 	19.46 	20.35 	18.05 	18.79 	17.7413 	19.3095 	18.4662 	21.1926 	20.4950 	23.3109 	19.9882 	20.8706 	19.1936 	21.8851 	23.8741 	28.0060 	29.0023 	32.8035 	33.2563 	36.9723 	36.0458 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.5056 	12.6007 	12.8322 	12.9437 	12.9271 	13.0500 	13.0562 	13.9595 	14.0695 	14.1167 	14.1541 	14.1230 	14.2285 	14.2052 	14.1983 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,HR	60.32 	55.65 	55.2 	55.3 	65.4 	66.44 	77.26 	77.09 	77.09 	77.21 	80.28 	98.34 	97.8 	98.64 	98.34 	100.88 	100.12 	97 	90 	77.19 	74.25 	75.975 	75.7500 	74.0938 	77.3438 	83.6250 	81.3438 	79.0938 	78.5313 	82.9063 	86.4000 	94.1973 	12.3056 	12.7014 	12.4250 	12.6583 	12.8042 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,HU	: 	2679.49 	2850.47 	3228.14 	3878.7264 	3587.33 	4040.2 	4291.67 	4195.44 	4577.09 	3967.26 	4065.94 	3555.25 	3473.4 	3114.2 	3022.36 	3014.34 	3054.03 	2989.78 	3099.72 	3025.05 	3131.8697 	3126.3122 	3118.2590 	3076.7700 	3065.4857 	3059.9647 	3055.2536 	3049.1306 	3040.8987 	3033.6420 	3947.9628 	3560.9394 	3558.0609 	2974.9708 	3510.3666 	3451.1545 
S,G3000,GJ20-199,GJ_GCV,I_TAX,NAC,IE	: 	16.85 	15.09 	18.05 	17.89 	15.29 	13.79 	14.63 	14.14 	17.18 	17.06 	18.68 	18.15 	20.07 	18.92 	20.7 	18.7 	20.11 	18.12 	18.83 	17.56 	18.0378 	17.5565 	21.1449 	18.9702 	21.2219 	18.5834 	19.4861 	17.2221 	21.7432 	23.5275 	42.8795 	40.6960 	45.5032 	35.3126 	37.4055 	33.8452 
